Пиво Pilsner Urquell світле з/б
Пиво Faxe Stout темне з/б
Пиво Saugatuck Blueberry Maple Stout темне з/б
Пиво Carlsberg світле з/б
Пиво Young's Double Chocolate Stout темне
Пиво Faxe Extra Strong 10% міцне з/б
Пиво «Оболонь» світле з/б
Пиво Львівське 1715 світле з/б
Пиво Львівське М'яке світле з/б
Пиво Shipyard Lake Shipyard American IPA світле
Пиво Gulden Draak Imperial Stout темне
Пиво Samuel Smith Organic Chocolate Stout темне
Пиво Saugatuck Neapolitan Milk Stout темне нефільтроване з/б
Пиво Lindemans Gueuze світле
Пиво Samuel Smith Celebrated Oatmeal Stout темне
Пиво Cornelissen King Mule IPA світле нефільтроване
Пиво Boon Kriek Mariage Parfait темно-червоне
Пиво Boon Oude Geuze солодове світле нефільтроване
Пиво Boon Oude Kriek солодове світле нефільтроване
Пиво Framboise Boon
Пиво Kriek Boon
Пиво Seth & Riley's Garage Cherry & More з/б
Смачна пропозиція «Чотири м’яса та чернігівське»
Смачна пропозиція «Барбекю та чернігівське»
Смачна пропозиція «Чотири сири та чернігівське»
Пиво Hoegaarden White з/б
Пиво Corona Extra світле з/б
Пиво Kronenbourg «Бланк» з/б
Пиво Corona Extra світле
Пиво Blue Moon світле нефільтроване з/б
Пиво Stella Artois
Пиво Kronenbourg Blanc
Пиво Keten Brug Blanche Elegant з/б
Пиво спеціальне Hike Blanche нефільтроване з/б
Пиво Seth&Riley's Garage Lemon світле з/б
Пиво Heineken світле з/б
Пиво Krusovice Cerne темне з/б
Пиво Guinness Draught темне з/б
Пиво Budweiser Budvar Бочкове світле з/б
Пиво Eichbaum Premium Pils з/б
Пиво «Перша приватна броварня» «Бочкове» світле нефільтроване
Пиво спеціальне Hike Blanche світле з/б
Пиво Patronus Helles Lager світле з/б
"Пиво «Перша приватна броварня» «Бочкове» світле 4,8% з/б"
Пиво «Оболонь» Kyiv Original світле
Пиво Velkopopovitsky Kozel темне з/б
Пиво Belhaven Black темне з/б
